상호명,상권업종소분류명,시도명,시군구명,위도,경도,좌석 수,1인 좌석 수,콘센트 ,와이파이 속도
투썸플레이스용,카페,제주특별자치도,제주시,33.51653926,126.5041081,44,8,31,132mbps
카페베네제주애월곽지해수욕장점,카페,제주특별자치도,제주시,33.44825583,126.3040556,13,3,6,124mbps
쿰다카페,카페,제주특별자치도,제주시,33.46219594,126.4496656,30,7,21,149mbps
빽다방제주법조,카페,제주특별자치도,제주시,33.49459457,126.5343205,44,11,26,129mbps
투썸플레이스,카페,제주특별자치도,제주시,33.46204272,126.3108082,22,7,5,144mbps
풀바셋제주아라DT점,카페,제주특별자치도,제주시,33.48764118,126.5410074,33,8,13,130mbps
할리스제주연북로점,카페,제주특별자치도,제주시,33.48138551,126.5153259,15,7,5,143mbps
세라젬웰카페제주,카페,제주특별자치도,제주시,33.48166711,126.4845637,19,6,18,54mbps
아쿠아플라넷제주,카페,제주특별자치도,서귀포시,33.43297604,126.9277911,31,10,17,75mbps
톨칸이,카페,제주특별자치도,제주시,33.49419023,126.9551807,32,6,18,110mbps
투썸플레이스제주노형,카페,제주특별자치도,제주시,33.48427122,126.4798894,39,13,27,149mbps
애월리다과점,카페,제주특별자치도,제주시,33.4637643,126.3221754,37,12,29,127mbps
데코르,카페,제주특별자치도,제주시,33.49041122,126.4306998,22,5,22,52mbps
폴바셋제주용담DT점,카페,제주특별자치도,제주시,33.51743545,126.4872794,32,8,12,88mbps
우도소품관,카페,제주특별자치도,제주시,33.4977465,126.9679203,44,11,24,104mbps
펜고호다,카페,제주특별자치도,제주시,33.41830642,126.3123796,18,9,15,140mbps
테이크썸윌리,카페,제주특별자치도,제주시,33.49149502,126.5372424,15,3,14,55mbps
바오밥나무,카페,제주특별자치도,제주시,33.45079602,126.3910026,23,4,19,60mbps
보목동마을회,카페,제주특별자치도,서귀포시,33.23701147,126.5957635,38,12,28,102mbps
귤곳간,카페,제주특별자치도,서귀포시,33.28953082,126.6932911,46,9,35,71mbps
동명카페,카페,제주특별자치도,제주시,33.51048296,126.5325457,21,4,21,61mbps
파파사이트,카페,제주특별자치도,제주시,33.33947229,126.2699799,18,4,1,149mbps
끌림,카페,제주특별자치도,제주시,33.50431484,126.5181039,24,4,7,91mbps
미스틱3도,카페,제주특별자치도,제주시,33.44998766,126.4873647,31,15,16,150mbps
제주로드팡134,카페,제주특별자치도,제주시,33.47252073,126.4088812,35,11,28,73mbps
썬시티,카페,제주특별자치도,제주시,33.55340826,126.7951231,40,8,29,134mbps
로이셀팩토리,카페,제주특별자치도,제주시,33.52394059,126.8568091,34,6,34,61mbps
오트팩토리,카페,제주특별자치도,제주시,33.52316768,126.5670957,38,19,22,105mbps
라플라주,카페,제주특별자치도,제주시,33.54282513,126.6705103,18,9,16,137mbps
우호적무관심,카페,제주특별자치도,제주시,33.33772492,126.2672125,25,5,17,132mbps
키아오라카페,카페,제주특별자치도,서귀포시,33.43430401,126.9048958,44,8,43,103mbps
영란다방,카페,제주특별자치도,제주시,33.50235933,126.5277142,50,16,36,55mbps
모알보알,카페,제주특별자치도,제주시,33.55956298,126.7279531,29,5,27,105mbps
더벤티원,카페,제주특별자치도,제주시,33.48554597,126.4850464,46,15,26,86mbps
다함께야구펍,카페,제주특별자치도,제주시,33.4862387,126.4846873,39,9,36,126mbps
알맞은시간,카페,제주특별자치도,서귀포시,33.30651921,126.7691048,30,6,12,55mbps
빽다방서귀포성읍,카페,제주특별자치도,서귀포시,33.38468406,126.8022046,18,4,12,133mbps
리치망고협제점,카페,제주특별자치도,제주시,33.40240328,126.2517715,46,9,36,72mbps
바이못,카페,제주특별자치도,제주시,33.35019968,126.3058575,34,6,19,65mbps
쥬씨삼화점,카페,제주특별자치도,제주시,33.51675485,126.579452,37,18,34,62mbps
유스커피,카페,제주특별자치도,제주시,33.48432202,126.5406591,36,12,22,125mbps
카페랑스,카페,제주특별자치도,서귀포시,33.26562663,126.5681667,27,6,13,126mbps
플로레종,카페,제주특별자치도,제주시,33.43392437,126.4015297,21,7,21,114mbps
공차제주,카페,제주특별자치도,제주시,33.50540414,126.5414302,15,3,2,70mbps
카페올디,카페,제주특별자치도,제주시,33.49395507,126.54912,14,2,3,113mbps
놀멍쉬멍카페테리아,카페,제주특별자치도,서귀포시,33.25267296,126.4183711,38,9,38,137mbps
월드카페,카페,제주특별자치도,제주시,33.41738834,126.2639423,44,11,30,112mbps
이디야커피,카페,제주특별자치도,제주시,33.51335226,126.5260185,29,14,16,115mbps
업드림스튜디오제주성산브런치난산리다방;조아가지구,카페,제주특별자치도,서귀포시,33.39894482,126.8679034,21,5,21,145mbps
투썸플레이스제주애월다인호텔점,카페,제주특별자치도,제주시,33.47249892,126.3504761,40,20,40,148mbps
구달나인,카페,제주특별자치도,서귀포시,33.26937852,126.6486793,47,23,31,70mbps
제주살롱,카페,제주특별자치도,제주시,33.47101668,126.7825797,39,13,30,96mbps
메이비,카페,제주특별자치도,서귀포시,33.24498363,126.5642337,25,8,5,81mbps
블루로즈553,카페,제주특별자치도,제주시,33.33804933,126.2284766,32,6,16,139mbps
애월브릭하우스,카페,제주특별자치도,제주시,33.4748358,126.3647349,17,3,2,62mbps
소담,카페,제주특별자치도,서귀포시,33.23124686,126.5073444,10,5,6,150mbps
본태인터네셔널,카페,제주특별자치도,제주시,33.46292656,126.3092415,27,9,17,141mbps
터미널다방,카페,제주특별자치도,제주시,33.49971311,126.5148687,41,13,21,91mbps
진주다방,카페,제주특별자치도,제주시,33.47836044,126.4807639,19,9,10,149mbps
메가엠지씨커피제주,카페,제주특별자치도,제주시,33.50568343,126.541375,33,16,29,110mbps
빽다방서귀포올레,카페,제주특별자치도,서귀포시,33.24949522,126.5626446,18,4,3,110mbps
커피473,카페,제주특별자치도,제주시,33.49943292,126.5407084,17,5,7,124mbps
플레이스엉물,카페,제주특별자치도,제주시,33.48963246,126.9006603,48,9,31,74mbps
쪼끌락,카페,제주특별자치도,제주시,33.55776259,126.7552037,48,12,42,93mbps
토끼문,카페,제주특별자치도,제주시,33.55589725,126.7954833,48,16,33,62mbps
