상호명,상권업종소분류명,시도명,시군구명,위도,경도
GS25이도,편의점,제주특별자치도,제주시,33.4945231113739,126.551613558542
투썸플레이스용,카페,제주특별자치도,제주시,33.5165392594964,126.504108079731
카페베네제주애월곽지해수욕장점,카페,제주특별자치도,제주시,33.4482558258561,126.304055629876
세븐일레븐서귀포케니스토리호텔점,편의점,제주특별자치도,서귀포시,33.2500984520647,126.564970221798
GS25서귀,편의점,제주특별자치도,서귀포시,33.2534303595389,126.561229984935
GS25한라체육관점,편의점,제주특별자치도,제주시,33.4991148681655,126.514054121554
쿰다카페,카페,제주특별자치도,제주시,33.4621959446476,126.449665609498
빽다방제주법조,카페,제주특별자치도,제주시,33.4945945685296,126.534320508392
투썸플레이스,카페,제주특별자치도,제주시,33.4620427155959,126.310808221129
풀바셋제주아라DT점,카페,제주특별자치도,제주시,33.4876411780853,126.541007397146
할리스제주연북로점,카페,제주특별자치도,제주시,33.4813855128093,126.515325892366
GS25서귀,편의점,제주특별자치도,서귀포시,33.2485488638334,126.56274593356
세라젬웰카페제주,카페,제주특별자치도,제주시,33.4816671126612,126.484563708564
GS25중문상예점,편의점,제주특별자치도,서귀포시,33.2630616793787,126.397964643205
아쿠아플라넷제주,카페,제주특별자치도,서귀포시,33.4329760445783,126.927791118688
톨칸이,카페,제주특별자치도,제주시,33.4941902266734,126.955180718521
투썸플레이스제주노형,카페,제주특별자치도,제주시,33.4842712182037,126.479889406951
애월리다과점,카페,제주특별자치도,제주시,33.4637643042972,126.322175364225
데코르,카페,제주특별자치도,제주시,33.4904112209162,126.430699775732
폴바셋제주용담DT점,카페,제주특별자치도,제주시,33.51743544658,126.487279388431
우도소품관,카페,제주특별자치도,제주시,33.4977465030455,126.967920349761
펜고호다,카페,제주특별자치도,제주시,33.418306419585,126.312379593022
테이크썸윌리,카페,제주특별자치도,제주시,33.4914950161481,126.537242424678
바오밥나무,카페,제주특별자치도,제주시,33.4507960211934,126.391002646435
보목동마을회,카페,제주특별자치도,서귀포시,33.2370114673395,126.595763484635
씨유제주씨앤블루점,편의점,제주특별자치도,제주시,33.4778590820953,126.365315330478
귤곳간,카페,제주특별자치도,서귀포시,33.2895308247843,126.693291143052
동명카페,카페,제주특별자치도,제주시,33.5104829567113,126.532545655661
씨유제주봉개,편의점,제주특별자치도,제주시,33.4914626831977,126.592207089627
파파사이트,카페,제주특별자치도,제주시,33.3394722917475,126.269979909243
세븐일레븐제주봉개LH점,편의점,제주특별자치도,제주시,33.4889804608706,126.594090995677
끌림,카페,제주특별자치도,제주시,33.5043148364244,126.51810387412
미스틱3도,카페,제주특별자치도,제주시,33.4499876610095,126.487364724429
제주로드팡134,카페,제주특별자치도,제주시,33.4725207286254,126.408881160722
썬시티,카페,제주특별자치도,제주시,33.5534082567887,126.795123092512
로이셀팩토리,카페,제주특별자치도,제주시,33.523940594874,126.85680914573
오트팩토리,카페,제주특별자치도,제주시,33.5231676802368,126.567095701064
라플라주,카페,제주특별자치도,제주시,33.5428251320391,126.67051032721
우호적무관심,카페,제주특별자치도,제주시,33.3377249249688,126.267212489957
키아오라카페,카페,제주특별자치도,서귀포시,33.4343040061613,126.904895752235
영란다방,카페,제주특별자치도,제주시,33.5023593253009,126.527714233161
모알보알,카페,제주특별자치도,제주시,33.5595629823147,126.727953105899
더벤티원,카페,제주특별자치도,제주시,33.4855459668075,126.485046438894
다함께야구펍,카페,제주특별자치도,제주시,33.4862386997633,126.484687266614
알맞은시간,카페,제주특별자치도,서귀포시,33.3065192135263,126.769104814506
지에스25제주동광점,편의점,제주특별자치도,제주시,33.4996196253806,126.544882887153
빽다방서귀포성읍,카페,제주특별자치도,서귀포시,33.3846840600333,126.802204589188
리치망고협제점,카페,제주특별자치도,제주시,33.4024032832732,126.251771529084
바이못,카페,제주특별자치도,제주시,33.3501996761908,126.305857454787
쥬씨삼화점,카페,제주특별자치도,제주시,33.516754851222,126.579451976289
유스커피,카페,제주특별자치도,제주시,33.4843220178112,126.54065907944
카페랑스,카페,제주특별자치도,서귀포시,33.2656266333992,126.568166725603
플로레종,카페,제주특별자치도,제주시,33.4339243715943,126.40152967014
한림개발,편의점,제주특별자치도,제주시,33.4859705158053,126.493996036169
공차제주,카페,제주특별자치도,제주시,33.5054041362108,126.541430237215
카페올디,카페,제주특별자치도,제주시,33.4939550748226,126.549119987283
씨유제주도청점,편의점,제주특별자치도,제주시,33.4884460736591,126.499716750524
놀멍쉬멍카페테리아,카페,제주특별자치도,서귀포시,33.2526729580524,126.418371147241
월드카페,카페,제주특별자치도,제주시,33.4173883448733,126.263942280462
이디야커피,카페,제주특별자치도,제주시,33.5133522616018,126.526018513522
업드림스튜디오제주성산브런치난산리다방;조아가지구,카페,제주특별자치도,서귀포시,33.398944824038,126.867903399604
씨유(제주협재점),편의점,제주특별자치도,제주시,33.3971271123496,126.244024024863
씨유,편의점,제주특별자치도,서귀포시,33.2474282941866,126.562021841864
투썸플레이스제주애월다인호텔점,카페,제주특별자치도,제주시,33.4724989159386,126.350476119494
씨유제주서광점,편의점,제주특별자치도,제주시,33.4994692884892,126.521725044659
씨유서귀고근산점,편의점,제주특별자치도,서귀포시,33.2606865655547,126.514616514609
서광마을,편의점,제주특별자치도,서귀포시,33.2994152960776,126.293580029423
CU제주행복날개주유소점,편의점,제주특별자치도,제주시,33.5050446816811,126.497565706073
구달나인,카페,제주특별자치도,서귀포시,33.2693785217354,126.648679276076
제주살롱,카페,제주특별자치도,제주시,33.4710166814836,126.782579665031
메이비,카페,제주특별자치도,서귀포시,33.2449836278081,126.564233719258
씨유제주,편의점,제주특별자치도,제주시,33.4951460250999,126.534715709826
블루로즈553,카페,제주특별자치도,제주시,33.3380493264933,126.228476565961
애월브릭하우스,카페,제주특별자치도,제주시,33.4748357954651,126.364734910698
세븐일레븐제주연동,편의점,제주특별자치도,제주시,33.4931254850809,126.490898401232
소담,카페,제주특별자치도,서귀포시,33.2312468619599,126.50734439069
본태인터네셔널,카페,제주특별자치도,제주시,33.4629265639082,126.309241496562
터미널다방,카페,제주특별자치도,제주시,33.4997131105549,126.514868650075
진주다방,카페,제주특별자치도,제주시,33.4783604382119,126.480763916481
메가엠지씨커피제주,카페,제주특별자치도,제주시,33.505683425168,126.541374953163
빽다방서귀포올레,카페,제주특별자치도,서귀포시,33.2494952195656,126.562644644315
커피473,카페,제주특별자치도,제주시,33.4994329191093,126.540708423149
플레이스엉물,카페,제주특별자치도,제주시,33.4896324562196,126.900660296622
지에스25성산,편의점,제주특별자치도,서귀포시,33.4502243945664,126.914407747341
쪼끌락,카페,제주특별자치도,제주시,33.5577625857075,126.755203727957
토끼문,카페,제주특별자치도,제주시,33.5558972523781,126.795483347561
경운재,카페,제주특별자치도,제주시,33.4939390724003,126.676775483695
개화당,카페,제주특별자치도,제주시,33.4701972269909,126.541529691304
꿈꾸는고양이,카페,제주특별자치도,제주시,33.4660898761859,126.357634430565
달자카페,카페,제주특별자치도,제주시,33.4835490714809,126.37975593484
홀리싯커피서플라이,카페,제주특별자치도,제주시,33.4948009321001,126.54130320819
클라우드나인커피,카페,제주특별자치도,제주시,33.4990384154158,126.529281907653
몽상의정원,카페,제주특별자치도,제주시,33.5245022355574,126.564580908688
씨유제주삼도,편의점,제주특별자치도,제주시,33.503639660609,126.520690484454
글러트니커피,카페,제주특별자치도,제주시,33.4865725227051,126.534890678487
블라썸1407,카페,제주특별자치도,제주시,33.456849976274,126.347538112705
뽀르또,카페,제주특별자치도,서귀포시,33.2731247524618,126.663326449522
도그모루,카페,제주특별자치도,제주시,33.5152790463185,126.673015041003
법환쌀다방,카페,제주특별자치도,서귀포시,33.2374738534746,126.511086154886
